"id","complaint_text","category","timestamp"
"1","Room lights malfunction every week and nobody attends.","Maintenance","2025-08-06"
"2","Mess food is bad.","Hostel","2025-07-27"
"3","Lectures are rescheduled last minute without notifications.","Faculty","2025-09-02"
"4","Mess staff misbehaves and ignores requests.","Hostel","2025-07-22"
"5","The water supply is highly irregular especially in the mornings.","Maintenance","2025-08-17"
"6","Professors are rarely available for doubt clearance.","Faculty","2025-07-12"
"7","Broken chairs in the gym are unsafe for use.","Sports","2025-07-29"
"8","No water facility in sports complex.","Sports","2025-07-26"
"9","Delay in releasing project grades is affecting internships.","Faculty","2025-07-14"
"10","Internet not working in hostel rooms for days.","Hostel","2025-08-19"
"11","Football field needs maintenance.","Sports","2025-09-08"
"12","Doors don't lock properly posing security risks.","Hostel","2025-08-28"
"13","There are electrical short circuits in the study hall.","Maintenance","2025-07-07"
"14","Several maintenance requests were filed with no resolution causing students to miss assessments.","Hostel","2025-07-10"
"15","Coaches do not attend practice on time.","Sports","2025-08-20"
"16","Faculty feedback is not constructive.","Faculty","2025-08-08"
"17","UPVC windows are leaking during heavy rains.","Maintenance","2025-08-24"
"18","Staff do not respond to emails about course selection.","Faculty","2025-07-19"
"19","The classroom fans are broken and have not been fixed for weeks.","Maintenance","2025-08-02"
"20","Unhygienic washrooms cleaning staff rarely attends.","Hostel","2025-08-03"
"21","Rodded chairs in the gym are unsafe for use.","Sports","2025-09-05"
"22","The HVAC system in the main library often fails leaving students uncomfortable.","Maintenance","2025-08-15"
"23","Faculty delayed releasing exam results hampering scholarship applications.","Faculty","2025-07-30"
"24","Mess food portions are reduced without informing residents causing hunger.","Hostel","2025-09-01"
"25","Several broken benches near sports ground unrepaired for months.","Sports","2025-08-20"
"26","Frequent power outages affect online classes with no timely solutions.","Maintenance","2025-07-19"
"27","Lecturers cancel multiple sessions citing personal reasons affecting syllabus.","Faculty","2025-08-12"
"28","Hostel Wi-Fi signal extremely weak on upper floors.","Hostel","2025-08-25"
"29","Sports equipment storage rooms often left unlocked causing security concerns.","Sports","2025-07-28"
"30","Water pressure in hostel bathrooms drops drastically in evening hours.","Maintenance","2025-08-07"
"31","Faculty feedback on assignments lacks detail making improvement difficult.","Faculty","2025-07-22"
"32","Mess staff hygiene standards are worrying raising food safety concerns.","Hostel","2025-08-17"
"33","Repeated complaints about leaking roof near basketball court ignored.","Sports","2025-08-05"
"34","Air conditioning in lecture halls not functioning properly.","Maintenance","2025-07-27"
"35","Faculty delays in updating course materials online impact studies.","Faculty","2025-08-01"
"36","Hostel laundry facilities insufficient for residents causing delays.","Hostel","2025-07-24"
"37","Sports coaches fail to provide consistent training sessions.","Sports","2025-08-16"
"38","Common room lights flicker constantly disturbing students.","Maintenance","2025-08-10"
"39","Lack of clarity from faculty regarding project deadlines.","Faculty","2025-07-31"
"40","Hostel recreational areas frequently dirty and not maintained.","Hostel","2025-08-22"
"41","Sports tracks have uneven surfaces causing injury risk.","Sports","2025-07-26"
"42","Heating system in hostel rooms unreliable leading to cold nights.","Maintenance","2025-08-04"
"43","Faculty members not accessible outside class hours for clarifications.","Faculty","2025-08-14"
"44","Mess menu lacks variety with little dietary restriction consideration.","Hostel","2025-07-28"
"45","Sports field floodlights are broken restricting evening practice.","Sports","2025-08-08"
"46","Frequent water leaks in hostel block C causing hazards.","Maintenance","2025-07-21"
"47","Delayed responses from faculty regarding internship approvals.","Faculty","2025-08-18"
"48","Insect infestations reported in mess area needing immediate attention.","Hostel","2025-08-03"
"49","Sports facilities booking system faulty leading to conflicts.","Sports","2025-07-25"
"50","Elevator in main academic block often breaks down.","Maintenance","2025-08-23"
"51","Lack of detailed exam review sessions from faculty.","Faculty","2025-07-29"
"52","Hostel lights frequently go off at night causing safety concerns.","Hostel","2025-08-07"
"53","Sports training equipment outdated and unsafe.","Sports","2025-08-11"
"54","Repeated complaints about noisy air conditioners in study halls ignored.","Maintenance","2025-07-26"
"55","Faculty often postpone classes citing administrative workload.","Faculty","2025-08-20"
"56","Mess utensils often unclean leading to contamination worries.","Hostel","2025-08-01"
"57","Sports complex lacks first aid facilities for injured athletes.","Sports","2025-07-31"
"58","Broken taps in hostel bathrooms cause water wastage.","Maintenance","2025-08-10"
"59","Unclear guidelines from faculty on grading criteria confuse students.","Faculty","2025-07-23"
"60","Hostel corridors often left unlocked compromising security.","Hostel","2025-08-19"
"61","Sports ground parking lot too small causing congestion.","Sports","2025-07-20"
"62","Maintenance requests take weeks to address especially plumbing.","Maintenance","2025-08-05"
"63","Faculty seminars and extra help sessions rarely arranged.","Faculty","2025-08-14"
"64","Mess food preparation areas frequently untidy raising hygiene questions.","Hostel","2025-07-18"
"65","Sports fields inaccessible due to poor drainage during rains.","Sports","2025-08-08"
"66","Delayed repairs to damaged hostel furniture causing discomfort.","Maintenance","2025-07-27"
"67","Faculty communication about course structure changes inadequate.","Faculty","2025-08-03"
"68","Hostel lacks adequate garbage disposal causing unpleasant odors.","Hostel","2025-07-29"
"69","Sports facilities maintenance staff unresponsive to repair requests.","Sports","2025-08-20"
"70","Water heater in hostel bathrooms often malfunctions during winter.","Maintenance","2025-08-12"
"71","Faculty office hours clash with lecture timings.","Faculty","2025-07-22"
"72","Heating in hostel block A completely unreliable at night.","Maintenance","2025-09-03"
"73","Faculty sometimes miss scheduled office hours without notification.","Faculty","2025-09-01"
"74","Mess food has become repetitive and tasteless.","Hostel","2025-09-07"
"75","Sports gym has broken treadmills with no replacement scheduled.","Sports","2025-09-05"
"76","Poor lighting in corridors causing accidents late at night.","Maintenance","2025-08-31"
"77","Delay in updating coursework material online causes confusion.","Faculty","2025-09-06"
"78","Hostel internet drops frequently during late hours.","Hostel","2025-08-29"
"79","Sports fields waterlogged and inaccessible due to poor drainage.","Sports","2025-09-02"
"80","Washing machine in hostel laundry frequently out of order.","Maintenance","2025-09-04"
"81","Faculty communication channels often unresponsive causing query delays.","Faculty","2025-08-27"
"82","Unsanitary conditions in mess reported by numerous students.","Hostel","2025-09-08"
"83","Sports equipment booking system confusing causing double bookings.","Sports","2025-09-03"
"84","Electrical socket issues in study rooms disrupt computer labs.","Maintenance","2025-09-07"
"85","Lack of timely response from faculty about grade appeals.","Faculty","2025-08-30"
"86","Mess staff serve cold food despite high temperatures.","Hostel","2025-08-28"
"87","Football field lacks proper line markings affecting matches.","Sports","2025-09-06"
"88","Leaky taps and faucets in hostel washrooms waste water.","Maintenance","2025-09-05"
"89","Course instructors reschedule classes last minute without informing.","Faculty","2025-09-01"
"90","Poor recycling facilities in hostel increase pest problems.","Hostel","2025-09-07"
"91","Sports courts untidy with broken fences creating hazards.","Sports","2025-08-29"
"92","Heating systems in academic blocks faulty affecting concentration.","Maintenance","2025-09-04"
"93","Faculty often do not provide detailed assignment feedback.","Faculty","2025-09-08"
"94","Mess food portions too small for nutritional needs.","Hostel","2025-09-02"
"95","Gym equipment outdated causing minor injuries during workouts.","Sports","2025-09-05"
"96","Flickering lights in hostel study areas make focusing hard.","Maintenance","2025-09-03"
"97","Faculty communication about exam schedules often delayed.","Faculty","2025-08-31"
"98","Multiple complaints of unhygienic mess utensils causing health concerns.","Hostel","2025-09-06"
"99","Lack of water stations near sports fields causes dehydration risks.","Sports","2025-09-01"
"100","Hostels suffer from irregular garbage collection causing smells.","Maintenance","2025-09-07"
"101","Faculty hard to reach for clarifications outside class hours.","Faculty","2025-09-04"
"102","Hostel common rooms frequently unavailable due to poor maintenance.","Hostel","2025-08-30"
"103","Lack of qualified sports coaching staff reduces training quality.","Sports","2025-09-06"
"104","Air conditioning units in library malfunction during peak usage.","Maintenance","2025-09-02"
"105","Faculty occasionally fail to respond to project deadline emails.","Faculty","2025-09-05"
"106","Mess food hygiene standards have fallen according to students.","Hostel","2025-09-07"
"107","Sports equipment rooms often left unlocked raising safety concerns.","Sports","2025-09-01"
"108","Several toilets in hostel broken and unrepaired for weeks.","Maintenance","2025-09-06"
"109","Lack of detailed syllabus updates from faculty creates confusion.","Faculty","2025-08-29"
"110","Frequent water shortages in hostel blocks affect daily routines.","Hostel","2025-09-03"
"111","Jogging track surface uneven causing frequent injuries.","Sports","2025-08-31"
"112","Heating system malfunctions in study halls during exams.","Maintenance","2025-09-07"
"113","Faculty feedback on practicals lacks clarity affecting lab preparation.","Faculty","2025-09-02"
"114","Mess meals sometimes served cold despite complaints.","Hostel","2025-09-05"
"115","Incomplete sports gear inventory makes conducting matches difficult.","Sports","2025-09-04"
"116","Recurring power outages disrupt hostel activities.","Maintenance","2025-08-28"
"117","Faculty availability for extra help sessions inconsistent.","Faculty","2025-09-06"
"118","Hostel recreation areas need urgent maintenance due to damages.","Hostel","2025-09-01"
"119","Sports facilities closed unexpectedly without notice affecting practice.","Sports","2025-09-03"
"120","Leaking roofs in academic blocks cause distractions and damage.","Maintenance","2025-09-05"
"121","Faculty grading criteria sometimes unclear and inconsistently applied.","Faculty","2025-09-07"
"122","Air conditioning in seminar hall broken making lectures unbearable.","Maintenance","2025-09-12"
"123","Faculty often cancel discussion sessions without informing students.","Faculty","2025-09-11"
"124","Hostel kitchen cleanliness declined with pests spotted frequently.","Hostel","2025-09-10"
"125","Basketballs for practice are old and deflated impeding training.","Sports","2025-09-09"
"126","Campus Wi-Fi drops during critical lecture presentations.","Maintenance","2025-09-08"
"127","Professors unresponsive to emails about assignment deadlines.","Faculty","2025-09-07"
