id,complaint_text,category,timestamp
1,Room lights malfunction every week and nobody attends.,Maintenance,2025-08-06
2,Mess food is bad.,Hostel,2025-07-27
3,Lectures are rescheduled last minute without notifications.,Faculty,2025-09-02
4,Mess staff misbehaves and ignores requests.,Hostel,2025-07-22
5,The water supply is highly irregular, especially in the mornings.,Maintenance,2025-08-17
6,Professors are rarely available for doubt clearance.,Faculty,2025-07-12
7,Broken chairs in the gym are unsafe for use.,Sports,2025-07-29
8,No water facility in sports complex.,Sports,2025-07-26
9,Delay in releasing project grades is affecting internships.,Faculty,2025-07-14
10,Internet not working in hostel rooms for days.,Hostel,2025-08-19
11,Football field needs maintenance.,Sports,2025-09-08
12,Doors don't lock properly, posing security risks.,Hostel,2025-08-28
13,There are electrical short circuits in the study hall.,Maintenance,2025-07-07
14,Mess food is bad. Several maintenance requests were filed with no resolution. The issue has inconvenienced students for weeks and some have missed assessments as a direct result.,Hostel,2025-07-10
15,Coaches do not attend practice on time.,Sports,2025-08-20
16,Faculty feedback is not constructive.,Faculty,2025-08-08
17,UPVC windows are leaking during heavy rains.,Maintenance,2025-08-24
18,Mess food is bad.,Hostel,2025-09-10
19,Staff do not respond to emails about course selection.,Faculty,2025-07-19
20,The classroom fans are broken and have not been fixed. Several maintenance requests were filed with no resolution. The issue has inconvenienced students for weeks and some have missed assessments as a direct result.,Maintenance,2025-08-02
21,Unhygienic washrooms, cleaning staff rarely attends.,Hostel,2025-08-03
22,Lectures are rescheduled last minute without notifications.,Faculty,2025-07-29
23,Football field needs maintenance.,Sports,2025-07-15
24,Mess staff misbehaves and ignores requests.,Hostel,2025-07-18
25,Internet not working in hostel rooms for days.,Hostel,2025-07-27
26,The water supply is highly irregular, especially in the mornings.,Maintenance,2025-08-10
27,Delay in releasing project grades is affecting internships.,Faculty,2025-08-13
28,No water facility in sports complex.,Sports,2025-08-03
29,Professors are rarely available for doubt clearance.,Faculty,2025-07-31
30,Broken chairs in the gym are unsafe for use.,Sports,2025-08-26
31,Doors don't lock properly, posing security risks.,Hostel,2025-07-16
32,Room lights malfunction every week and nobody attends.,Maintenance,2025-09-01
33,Mess food is bad.,Hostel,2025-08-29
34,Staff do not respond to emails about course selection.,Faculty,2025-07-15
35,Coaches do not attend practice on time.,Sports,2025-08-19
36,Mess food is bad. Several maintenance requests were filed with no resolution. The issue has inconvenienced students for weeks and some have missed assessments as a direct result.,Hostel,2025-07-25
37,The classroom fans are broken and have not been fixed.,Maintenance,2025-07-23
38,Lectures are rescheduled last minute without notifications.,Faculty,2025-08-12
39,Internet not working in hostel rooms for days.,Hostel,2025-07-30
40,Football field needs maintenance.,Sports,2025-08-11
41,Mess staff misbehaves and ignores requests.,Hostel,2025-07-24
42,The water supply is highly irregular, especially in the mornings.,Maintenance,2025-08-05
43,Delay in releasing project grades is affecting internships.,Faculty,2025-07-28
44,No water facility in sports complex.,Sports,2025-07-22
45,Professors are rarely available for doubt clearance.,Faculty,2025-08-02
46,Broken chairs in the gym are unsafe for use.,Sports,2025-09-04
47,Doors don't lock properly, posing security risks.,Hostel,2025-08-21
48,Mess food is bad.,Hostel,2025-07-20
49,Lectures are rescheduled last minute without notifications.,Faculty,2025-08-30
50,Rodded chairs in the gym are unsafe for use.,Sports,2025-09-05
51,Mess staff misbehaves and ignores requests.,Hostel,2025-08-19
52,Room lights malfunction every week and nobody attends.,Maintenance,2025-08-25
53,Delay in releasing project grades is affecting internships.,Faculty,2025-07-21
54,Internet not working in hostel rooms for days.,Hostel,2025-08-18
55,Football field needs maintenance.,Sports,2025-07-30
56,The water supply is highly irregular, especially in the mornings.,Maintenance,2025-08-07
57,Coaches do not attend practice on time.,Sports,2025-07-24
58,Lectures are rescheduled last minute without notifications.,Faculty,2025-08-29
59,Mess food is bad.,Hostel,2025-08-01
60,Doors don't lock properly, posing security risks.,Hostel,2025-07-26
61,Professors are rarely available for doubt clearance.,Faculty,2025-08-06
62,Broken chairs in the gym are unsafe for use.,Sports,2025-08-28
63,Room lights malfunction every week and nobody attends.,Maintenance,2025-08-20
64,Mess staff misbehaves and ignores requests.,Hostel,2025-07-23
65,Lectures are rescheduled last minute without notifications.,Faculty,2025-08-14
66,No water facility in sports complex.,Sports,2025-08-12
67,Internet not working in hostel rooms for days.,Hostel,2025-07-29
68,The classroom fans are broken and have not been fixed.,Maintenance,2025-07-19
69,Delay in releasing project grades is affecting internships.,Faculty,2025-08-09
70,Mess food is bad. Several maintenance requests were filed with no resolution. The issue has inconvenienced students for weeks and some have missed assessments as a direct result.,Hostel,2025-07-31
71,Football field needs maintenance.,Sports,2025-08-22
72,Professors are rarely available for doubt clearance.,Faculty,2025-08-04
73,Mess food is bad.,Hostel,2025-08-15
74,Coaches do not attend practice on time.,Sports,2025-07-27
75,Door locks are faulty, posing security risks.,Hostel,2025-08-23
76,Room lights malfunction every week and nobody attends.,Maintenance,2025-07-28
77,Lectures are rescheduled last minute without notifications.,Faculty,2025-08-21
78,Internet not working in hostel rooms for days.,Hostel,2025-07-21
79,Broken chairs in the gym are unsafe for use.,Sports,2025-08-07
80,The water supply is highly irregular, especially in the mornings.,Maintenance,2025-07-25
81,Mess staff misbehaves and ignores requests.,Hostel,2025-08-11
82,Delay in releasing project grades is affecting internships.,Faculty,2025-07-30
83,No water facility in sports complex.,Sports,2025-08-08
84,Mess food is bad.,Hostel,2025-08-28
85,Coaches do not attend practice on time.,Sports,2025-07-22
86,The classroom fans are broken and have not been fixed.,Maintenance,2025-07-26
87,Doors don't lock properly, posing security risks.,Hostel,2025-08-03
88,Lectures are rescheduled last minute without notifications.,Faculty,2025-08-16
89,Internet not working in hostel rooms for days.,Hostel,2025-07-20
90,Football field needs maintenance.,Sports,2025-08-05
91,Professors are rarely available for doubt clearance.,Faculty,2025-08-13
92,Room lights malfunction every week and nobody attends.,Maintenance,2025-08-27
93,Mess food is bad.,Hostel,2025-07-24
94,Delay in releasing project grades is affecting internships.,Faculty,2025-08-17
95,Mess staff misbehaves and ignores requests.,Hostel,2025-07-18
96,No water facility in sports complex.,Sports,2025-08-14
97,Internet not working in hostel rooms for days.,Hostel,2025-07-22
98,The classroom fans are broken and have not been fixed.,Maintenance,2025-08-04
99,Coaches do not attend practice on time.,Sports,2025-07-25
100,Lectures are rescheduled last minute without notifications.,Faculty,2025-08-09
101,Mess food is bad.,Hostel,2025-07-31
102,Room lights malfunction every week and nobody attends.,Maintenance,2025-08-02
103,Delay in releasing project grades is affecting internships.,Faculty,2025-08-11
104,Internet not working in hostel rooms for days.,Hostel,2025-07-28
105,Football field needs maintenance.,Sports,2025-08-01
106,The water supply is highly irregular, especially in the mornings.,Maintenance,2025-08-05
107,Lectures are rescheduled last minute without notifications.,Faculty,2025-07-26
108,Mess staff misbehaves and ignores requests.,Hostel,2025-08-03
109,Broken chairs in the gym are unsafe for use.,Sports,2025-08-06
110,Coaches do not attend practice on time.,Sports,2025-07-24
111,Professors are rarely available for doubt clearance.,Faculty,2025-08-10
112,Mess food is bad.,Hostel,2025-07-29
113,Doors don't lock properly, posing security risks.,Hostel,2025-08-04
114,Room lights malfunction every week and nobody attends.,Maintenance,2025-08-08
115,Delay in releasing project grades is affecting internships.,Faculty,2025-07-25
116,Internet not working in hostel rooms for days.,Hostel,2025-08-12
117,Football field needs maintenance.,Sports,2025-07-30
118,Mess staff misbehaves and ignores requests.,Hostel,2025-08-02
119,The classroom fans are broken and have not been fixed.,Maintenance,2025-08-07
120,Coaches do not attend practice on time.,Sports,2025-07-27
121,Lectures are rescheduled last minute without notifications.,Faculty,2025-08-11
122,Mess food is bad.,Hostel,2025-07-22
123,Broken chairs in the gym are unsafe for use.,Sports,2025-08-03
124,The water supply is highly irregular, especially in the mornings.,Maintenance,2025-07-31
125,Delay in releasing project grades is affecting internships.,Faculty,2025-08-09
126,Mess food is bad.,Hostel,2025-07-30
127,Internet not working in hostel rooms for days.,Hostel,2025-08-05
128,Coaches do not attend practice on time.,Sports,2025-07-23
129,Professors are rarely available for doubt clearance.,Faculty,2025-08-07
130,The classroom fans are broken and have not been fixed.,Maintenance,2025-07-29
131,Mess staff misbehaves and ignores requests.,Hostel,2025-08-01
132,Room lights malfunction every week and nobody attends.,Maintenance,2025-07-26
133,Football field needs maintenance.,Sports,2025-08-12
134,Lectures are rescheduled last minute without notifications.,Faculty,2025-07-27
135,Internet not working in hostel rooms for days.,Hostel,2025-08-10
136,The water supply is highly irregular, especially in the mornings.,Maintenance,2025-07-28
137,Delay in releasing project grades is affecting internships.,Faculty,2025-08-06
138,Mess food is bad.,Hostel,2025-07-25
139,Coaches do not attend practice on time.,Sports,2025-08-08
140,Mess staff misbehaves and ignores requests.,Hostel,2025-07-24
141,Broken chairs in the gym are unsafe for use.,Sports,2025-08-04
142,Doors don't lock properly, posing security risks.,Hostel,2025-07-30
143,Room lights malfunction every week and nobody attends.,Maintenance,2025-08-05
144,Professors are rarely available for doubt clearance.,Faculty,2025-07-22
145,Internet not working in hostel rooms for days.,Hostel,2025-08-13
146,Mess food is bad.,Hostel,2025-07-29
147,Delay in releasing project grades is affecting internships.,Faculty,2025-08-14
148,Football field needs maintenance.,Sports,2025-07-26
149,Coaches do not attend practice on time.,Sports,2025-08-02
150,Lectures are rescheduled last minute without notifications.,Faculty,2025-07-25
